Country	GWP07VA	GWP07GE	GWP07RL	GWP07CC
Afghanistan	0.54	0.56	0.62	0.30
Angola	0.35	0.35	0.52	0.30
Albania	0.24	0.49	0.59	0.30
United Arab Emirates	NA	0.77	0.90	NA
Argentina	0.32	0.48	0.50	0.17
Armenia	0.15	0.48	0.64	0.18
Australia	0.59	0.60	0.75	0.60
Austria	0.70	0.74	0.82	0.64
Azerbaijan	0.36	0.49	0.61	0.44
Burundi	0.66	0.39	0.63	0.40
Belgium	0.65	0.70	0.71	0.44
Benin	0.42	0.32	0.58	0.47
Burkina Faso	0.25	0.26	0.62	0.40
Bangladesh	0.42	0.70	0.75	0.23
Bulgaria	0.36	0.40	0.57	0.19
Bahrain	NA	NA	NA	NA
Bahamas, The	NA	NA	NA	NA
Bosnia and Herzegovina	0.39	0.52	0.65	0.18
Belarus	0.38	0.60	0.61	0.61
Belize	0.25	0.43	0.50	0.31
Bolivia	0.38	0.66	0.46	0.34
Brazil	0.26	0.61	0.58	0.34
Bhutan	NA	NA	NA	NA
Botswana	0.82	0.57	0.75	0.36
Central African Republic	0.38	0.24	0.72	0.32
Canada	0.71	0.62	0.79	0.56
Switzerland	0.79	0.80	0.81	0.73
Chile	0.46	0.62	0.52	0.39
China	NA	0.70	NA	NA
Cote d'Ivoire	NA	NA	NA	NA
Cameroon	0.21	0.43	0.57	0.14
Congo, Rep.	NA	NA	NA	NA
Colombia	0.20	0.65	0.57	0.22
Comoros	NA	NA	NA	NA
Costa Rica	0.52	0.69	0.58	0.26
Cuba	0.51	0.32	0.69	NA
Cyprus	0.77	0.54	0.76	0.52
Czech Republic	0.50	0.57	0.57	0.20
Germany	0.51	0.67	0.73	0.33
Djibouti	NA	NA	NA	NA
Denmark	0.89	0.72	0.87	0.86
Dominican Republic	0.34	0.58	0.55	0.31
Algeria	NA	0.50	0.81	NA
Ecuador	0.30	0.64	0.48	0.26
Egypt, Arab Rep.	NA	0.56	NA	NA
Spain	0.61	0.66	0.68	0.42
Estonia	0.33	0.48	0.63	0.53
Ethiopia	0.15	0.40	0.50	0.21
Finland	0.94	0.70	0.87	0.92
Fiji	NA	NA	NA	NA
France	0.58	0.65	0.70	0.37
Gabon	NA	NA	NA	NA
United Kingdom	0.61	0.65	0.72	0.56
Georgia	0.17	0.51	0.58	0.48
Ghana	0.70	0.70	0.70	0.35
Guinea	NA	NA	NA	NA
Greece	0.62	0.49	0.65	0.30
Guatemala	0.38	0.69	0.56	0.30
Guyana	0.28	0.68	0.59	0.38
Hong Kong SAR, China	0.65	0.72	0.89	0.78
Honduras	0.27	0.62	0.55	0.20
Croatia	0.37	0.62	0.62	0.23
Haiti	0.31	0.36	0.54	0.30
Hungary	0.43	0.49	0.71	0.30
Indonesia	0.42	0.69	0.71	0.15
India	0.44	0.78	0.81	0.23
Ireland	0.76	0.67	0.77	0.58
Iran, Islamic Rep.	0.40	0.42	0.63	0.24
Iraq	NA	NA	NA	NA
Iceland	NA	NA	NA	NA
Israel	0.35	0.58	0.64	0.13
Italy	0.46	0.51	0.66	0.20
Jamaica	0.15	0.61	0.57	0.13
Jordan	0.50	0.61	0.87	0.63
Japan	0.48	0.62	0.73	0.22
Kazakhstan	0.35	0.48	0.56	0.35
Kenya	0.53	0.53	0.65	0.22
Kyrgyz Republic	0.23	0.47	0.54	0.17
Cambodia	0.61	0.73	0.65	0.24
Korea, Rep.	0.37	0.64	0.56	0.30
Kosovo	0.44	0.47	0.67	0.19
Kuwait	0.61	0.83	0.84	NA
Lao PDR	0.89	0.73	0.80	NA
Lebanon	0.33	0.64	0.68	0.18
Liberia	0.68	0.20	0.56	0.33
Libya	NA	NA	NA	NA
Sri Lanka	0.26	0.59	0.78	0.30
Lesotho	NA	NA	NA	NA
Lithuania	0.18	0.46	0.50	0.14
Luxembourg	NA	NA	NA	NA
Latvia	0.32	0.51	0.59	0.28
Morocco	0.25	0.46	0.84	0.19
