Country	GWP08VA	GWP08GE	GWP08RL	GWP08CC
Afghanistan	0.54	0.56	0.62	0.30
Angola	0.37	0.41	0.58	0.31
Albania	0.24	0.51	0.60	0.27
United Arab Emirates	NA	0.77	0.90	NA
Argentina	0.30	0.48	0.50	0.21
Armenia	0.16	0.55	0.64	0.23
Australia	0.66	0.60	0.75	0.66
Austria	0.57	0.71	0.81	0.47
Azerbaijan	0.39	0.50	0.62	0.27
Burundi	0.56	0.34	0.67	0.18
Belgium	0.70	0.73	0.73	0.53
Benin	0.42	0.34	0.63	0.37
Burkina Faso	0.31	0.28	0.66	0.31
Bangladesh	0.63	0.76	0.82	0.25
Bulgaria	0.37	0.40	0.57	0.19
Bahrain	NA	NA	NA	NA
Bahamas, The	NA	NA	NA	NA
Bosnia and Herzegovina	0.41	0.53	0.65	0.19
Belarus	0.38	0.59	0.61	0.60
Belize	0.25	0.43	0.50	0.31
Bolivia	0.36	0.67	0.46	0.36
Brazil	0.25	0.58	0.55	0.32
Bhutan	NA	NA	NA	NA
Botswana	0.93	0.50	0.76	0.31
Central African Republic	0.37	0.25	0.72	0.32
Canada	0.67	0.65	0.79	0.59
Switzerland	0.80	0.81	0.81	0.73
Chile	0.40	0.59	0.58	0.36
China	NA	0.70	NA	NA
Cote d'Ivoire	NA	NA	NA	NA
Cameroon	0.12	0.39	0.58	0.09
Congo, Rep.	NA	NA	NA	NA
Colombia	0.33	0.64	0.61	0.30
Comoros	NA	NA	NA	NA
Costa Rica	0.51	0.68	0.56	0.26
Cuba	0.51	0.32	0.69	NA
Cyprus	0.77	0.55	0.75	0.52
Czech Republic	0.51	0.58	0.57	0.21
Germany	0.43	0.67	0.73	0.43
Djibouti	0.46	0.70	0.77	0.43
Denmark	0.92	0.69	0.87	0.82
Dominican Republic	0.35	0.56	0.53	0.30
Algeria	0.30	0.57	0.65	0.31
Ecuador	0.26	0.67	0.46	0.33
Egypt, Arab Rep.	NA	0.60	0.88	NA
Spain	0.75	0.70	0.67	0.53
Estonia	0.38	0.49	0.60	0.51
Ethiopia	0.15	0.38	0.50	0.21
Finland	0.90	0.65	0.85	0.87
Fiji	NA	NA	NA	NA
France	0.66	0.67	0.77	0.44
Gabon	NA	NA	NA	NA
United Kingdom	0.57	0.64	0.71	0.46
Georgia	0.35	0.64	0.68	0.64
Ghana	0.67	0.65	0.69	0.26
Guinea	0.16	0.27	0.54	0.36
Greece	0.62	0.49	0.65	0.31
Guatemala	0.35	0.66	0.51	0.26
Guyana	0.29	0.69	0.60	0.39
Hong Kong SAR, China	0.65	0.72	0.89	0.79
Honduras	0.25	0.66	0.54	0.18
Croatia	0.38	0.62	0.63	0.24
Haiti	0.32	0.36	0.55	0.31
Hungary	0.41	0.47	0.69	0.26
Indonesia	0.54	0.63	0.74	0.09
India	0.52	0.66	0.77	0.19
Ireland	0.71	0.60	0.78	0.45
Iran, Islamic Rep.	0.50	0.53	0.67	0.23
Iraq	0.27	0.38	0.66	0.16
Iceland	NA	NA	NA	NA
Israel	0.37	0.58	0.65	0.14
Italy	0.52	0.51	0.66	0.19
Jamaica	0.15	0.61	0.57	0.13
Jordan	0.50	0.61	0.87	0.64
Japan	0.46	0.62	0.74	0.20
Kazakhstan	0.36	0.48	0.56	0.34
Kenya	0.22	0.46	0.58	0.09
Kyrgyz Republic	0.28	0.52	0.57	0.24
Cambodia	0.72	0.78	0.70	0.26
Korea, Rep.	0.40	0.64	0.58	0.31
Kosovo	0.44	0.50	0.72	0.16
Kuwait	0.61	0.83	0.84	NA
Lao PDR	0.81	0.72	0.82	0.54
Lebanon	0.21	0.61	0.64	0.13
Liberia	0.45	0.19	0.46	0.16
Libya	NA	NA	NA	NA
Sri Lanka	0.36	0.64	0.81	0.29
Lesotho	NA	NA	NA	NA
Lithuania	0.18	0.46	0.55	0.12
Luxembourg	NA	NA	NA	NA
Latvia	0.35	0.46	0.53	0.25
Morocco	0.25	0.46	0.84	0.19
Moldova	0.31	0.46	0.51	0.23
Madagascar	0.56	0.52	0.77	0.26
Maldives	NA	NA	NA	NA
Mexico	0.26	0.67	0.55	0.22
Macedonia, FYR	0.32	0.55	0.59	0.26
Mali	0.28	0.20	0.61	0.09
Malta	NA	NA	NA	NA
Myanmar	NA	0.75	0.95	NA
Montenegro	0.43	0.44	0.61	0.51
Mongolia	0.21	0.51	0.55	0.22
Mozambique	0.44	0.68	0.58	0.26
Mauritania	0.56	0.34	0.65	0.52
Mauritius	NA	NA	NA	NA
Malawi	0.41	0.60	0.75	0.35
Malaysia	0.50	0.80	0.76	0.38
Namibia	0.73	0.65	0.75	0.16
Niger	0.46	0.26	0.71	0.36
Nigeria	0.22	0.47	0.58	0.15
Nicaragua	0.36	0.65	0.57	0.28
Netherlands	0.86	0.69	0.77	0.67
Norway	0.70	0.56	0.84	0.67
Nepal	0.26	0.64	0.67	0.16
New Zealand	0.63	0.62	0.71	0.68
Oman	NA	NA	NA	NA
Pakistan	0.33	0.63	0.60	0.32
Panama	0.36	0.60	0.54	0.14
Peru	0.26	0.50	0.43	0.14
Philippines	0.41	0.72	0.77	0.26
Poland	0.48	0.52	0.63	0.24
Puerto Rico	0.22	0.42	0.64	0.12
Portugal	0.59	0.69	0.66	0.38
Paraguay	0.41	0.53	0.52	0.13
Qatar	NA	NA	NA	NA
Romania	0.36	0.53	0.62	0.13
Russian Federation	0.32	0.45	0.49	0.26
Rwanda	0.79	0.60	0.86	0.78
Saudi Arabia	0.32	0.68	0.84	0.58
Sudan	0.35	0.55	0.76	0.38
Senegal	0.32	0.41	0.70	0.16
Singapore	0.81	0.94	0.87	0.97
Sierra Leone	0.65	0.24	0.64	0.14
El Salvador	0.32	0.68	0.60	0.35
Somalia	NA	NA	NA	NA
Serbia	0.57	0.52	0.61	0.29
Suriname	NA	NA	NA	NA
Slovak Republic	0.44	0.41	0.57	0.17
Slovenia	0.74	0.62	0.64	0.57
Sweden	0.87	0.62	0.75	0.80
Swaziland	NA	NA	NA	NA
Syrian Arab Republic	NA	NA	NA	NA
Chad	0.12	0.21	0.38	0.18
Togo	0.19	0.36	0.55	0.21
Thailand	0.45	0.82	0.78	0.18
Tajikistan	0.36	0.52	0.79	0.68
Turkmenistan	NA	NA	NA	NA
Trinidad and Tobago	0.28	0.58	0.47	0.18
Tunisia	0.88	0.72	0.90	0.55
Turkey	0.47	0.57	0.76	0.43
Taiwan, China	0.17	0.65	0.57	0.20
Tanzania	0.61	0.43	0.76	0.41
Uganda	0.27	0.44	0.63	0.12
Ukraine	0.15	0.44	0.47	0.18
Uruguay	0.75	0.69	0.62	0.57
United States	0.47	0.61	0.79	0.28
Uzbekistan	NA	0.72	0.97	0.65
Venezuela, RB	0.64	0.66	0.60	0.46
Vietnam	0.77	0.70	0.86	0.41
West Bank and Gaza	0.42	0.51	0.57	0.36
Yemen, Rep.	0.35	0.49	0.55	0.27
South Africa	0.74	0.66	0.73	0.12
Congo, Dem. Rep.	0.24	0.21	0.55	0.15
Zambia	0.35	0.54	0.69	0.14
Zimbabwe	0.10	0.28	0.49	0.06
