Afghanistan			5,150,441,047	5,585,352,695	5,644,309,209	
Albania	6,442,279,085	6,893,238,620	7,093,142,540	7,497,451,665	7,939,801,314	
Algeria	78,895,342,484	82,534,408,887	87,156,335,785	93,431,591,961	97,449,150,416	
American Samoa							
Andorra	1,782,514,579	1,992,321,406	2,109,356,389	2,251,830,450	2,397,857,379	
Angola	17,245,698,514	17,973,633,439	20,457,911,760	21,531,454,923	23,873,962,039	
Antigua and Barbuda	846,190,664	819,161,287	843,115,623	892,974,374	940,180,751	
Argentina	201,959,750,148	193,055,668,513	172,023,248,029	187,225,012,601	204,130,632,390	
Armenia	2,754,946,339	3,018,226,684	3,416,219,125	3,895,883,451	4,303,698,370	
Aruba	2,171,771,586	2,124,764,472	2,134,650,786	2,295,165,262	2,322,172,253	
Australia	590,990,901,233	602,389,157,113	625,660,026,061	644,925,655,534	671,732,538,036	
Austria	288,929,631,274	292,831,682,585	297,680,535,741	299,931,471,547	308,046,854,698	
Azerbaijan	7,035,249,733	7,731,739,456	8,551,303,777	9,509,049,820	10,478,972,940	
Bahamas, The	7,099,130,519	7,285,527,215	7,482,573,735	7,387,938,285	7,453,165,227	
Bahrain	12,417,139,192	12,726,454,402	13,186,407,218	13,980,750,122	14,956,738,763	
Bangladesh	46,268,661,601	48,708,877,344	50,859,574,435	53,532,750,754	56,889,523,443	
Barbados	3,687,558,812	3,593,519,264	3,617,690,072	3,689,069,488	3,741,943,129	
Belarus	21,041,101,430	22,035,357,859	23,147,100,568	24,777,395,460	27,614,343,544	
Belgium	355,035,280,804	358,316,769,263	363,904,793,314	367,143,188,081	379,752,666,517	
Belize	860,020,517	903,156,251	949,384,839	1,037,955,273	1,086,200,377	
Benin	3,564,714,018	3,787,451,985	3,954,899,568	4,108,448,873	4,236,626,607	
Bermuda	4,283,518,863	4,592,893,272	4,525,019,938	4,679,355,073	4,787,975,374	
Bhutan	559,604,553	605,513,245	670,471,740	721,858,934	764,422,684	
Bolivia	8,201,398,323	8,339,493,389	8,546,776,986	8,778,509,155	9,144,862,288	
Bosnia and Herzegovina	8,560,717,579	8,937,389,110	9,411,070,757	9,787,513,593	10,384,551,900	
Botswana	8,312,647,242	8,333,476,563	8,839,279,496	9,248,175,263	9,498,414,393	
Brazil	768,993,045,034	779,104,504,753	799,797,319,910	808,968,988,193	855,192,804,053	
Brunei Darussalam	8,602,106,665	8,838,152,034	9,180,373,875	9,446,967,804	9,494,610,558	
Bulgaria	22,712,754,600	23,575,583,113	24,631,821,956	25,951,391,108	27,653,728,343	
Burkina Faso	3,982,851,579	4,245,137,265	4,463,498,007	4,811,762,166	5,027,254,632	
Burundi	1,003,173,008	1,023,796,310	1,069,319,612	1,056,234,049	1,107,288,788	
Cabo Verde	735,999,746	752,424,718	791,933,721	825,006,927	909,133,482	
Cambodia	4,026,612,205	4,350,296,727	4,641,239,389	5,036,018,514	5,556,769,455	
Cameroon	13,827,130,250	14,451,324,393	15,030,684,429	15,636,570,313	16,215,413,325	
Canada	1,026,878,406,014	1,044,215,955,949	1,073,473,509,321	1,094,141,282,236	1,128,484,060,364	
Cayman Islands							
Central African Republic	1,232,871,264	1,287,916,287	1,334,493,625	1,262,464,742	1,338,149,399	
Chad	3,050,372,770	3,405,989,335	3,695,199,036	4,239,193,933	5,664,808,225	
Chile	101,250,644,204	104,640,698,419	106,908,166,747	111,138,254,012	117,852,212,337	
China	1,417,014,275,044	1,534,630,960,324	1,674,007,187,686	1,841,832,749,394	2,027,582,317,057	
Colombia	122,659,075,459	124,717,170,010	127,840,063,584	132,849,184,877	139,934,061,223	
Comoros	310,561,433	347,357,518	355,432,813	362,911,482	369,877,939	
Congo, Dem. Rep.	9,925,276,570	9,716,828,589	10,003,257,879	10,561,221,829	11,272,876,448	
Congo, Rep.	4,988,137,317	5,177,816,322	5,415,057,137	5,459,095,852	5,648,888,504	
Costa Rica	16,340,941,962	16,516,835,260	16,996,184,390	18,084,706,852	18,855,016,400	
Cote d'Ivoire	17,085,587,280	17,081,959,929	16,837,549,854	16,575,664,554	16,873,007,966	
Croatia	36,454,652,841	37,706,653,030	39,684,922,977	41,890,574,103	43,600,886,940	
Cuba	33,377,657,730	34,439,811,630	34,931,815,614	36,256,208,104	38,348,509,946	
Curacao							
Cyprus	14,498,299,779	15,081,936,318	15,397,335,239	15,695,130,499	16,358,201,720	
Czech Republic	112,177,333,253	115,600,448,451	117,504,329,622	121,736,650,557	127,759,518,094	
Denmark	247,446,864,102	249,483,738,008	250,647,076,311	251,624,828,854	258,265,084,919	
Djibouti	612,142,706	624,677,947	641,035,529	661,548,405	686,862,396	
Dominica	337,750,832	339,348,741	333,399,414	359,028,537	370,697,483	
Dominican Republic	28,565,149,660	29,081,958,770	30,765,282,834	30,687,336,281	31,089,941,311	
Ecuador	32,753,307,083	34,068,558,675	35,464,271,435	36,429,920,044	39,421,188,399	
Egypt, Arab Rep.	75,403,544,184	78,069,229,640	79,919,852,219	82,472,056,526	85,846,872,138	
El Salvador	15,219,053,495	15,479,137,440	15,841,476,610	16,205,836,634	16,505,731,408	
Equatorial Guinea	2,293,189,319	3,746,609,852	4,475,806,310	5,100,416,284	7,038,509,536	
Eritrea	967,942,712	1,052,690,320	1,084,328,177	1,055,533,675	1,070,857,220	
Estonia	9,921,578,744	10,532,558,449	11,177,325,648	12,013,445,754	12,791,598,891	
Ethiopia	9,078,129,786	9,831,733,147	9,980,656,936	9,764,939,037	11,090,295,460	
Faeroe Islands							
Fiji	2,667,071,319	2,720,412,714	2,807,465,937	2,835,540,568	2,985,824,246	
Finland	179,902,086,753	184,544,985,450	187,645,941,153	191,387,571,382	198,901,556,857	
France	2,029,989,219,271	2,069,664,331,941	2,092,812,635,303	2,109,963,897,553	2,168,756,440,332	
French Polynesia							
Gabon	7,951,573,993	8,121,076,102	8,099,380,302	8,299,855,530	8,411,572,880	
Gambia, The	538,066,030	569,273,861	550,772,458	588,610,525	630,107,567	
Georgia	4,501,184,537	4,717,486,805	4,975,714,395	5,525,933,974	5,849,606,150	
Germany	2,777,363,465,901	2,824,447,720,116	2,824,751,487,091	2,804,398,931,503	2,837,509,796,423	
Ghana	8,393,646,451	8,729,392,309	9,122,214,936	9,596,570,111	10,133,978,037	
Greece	204,952,790,255	212,611,721,758	219,335,821,022	233,894,807,367	245,478,738,870	
Greenland	1,627,666,678	1,648,322,347	1,632,314,204	1,626,117,503	1,669,494,407	
Grenada	556,982,861	545,710,085	564,467,906	617,888,999	613,888,475	
Guam							
Guatemala	23,441,934,442	23,988,727,948	24,916,285,306	25,546,876,111	26,352,121,441	
Guinea	2,524,527,100	2,616,883,048	2,752,034,838	2,786,396,779	2,851,601,733	
Guinea-Bissau	538,205,016	549,985,822	544,567,485	547,663,407	562,786,595	
Guyana	796,311,937	814,228,950	822,786,503	814,515,398	841,344,923	
Haiti	4,269,984,676	4,225,461,660	4,214,412,153	4,229,686,472	4,081,168,092	
Honduras	7,704,758,600	7,914,574,068	8,211,713,918	8,585,103,675	9,120,153,346	
China	147,644,758,859	148,472,861,828	150,932,686,289	155,545,647,439	169,078,302,917	
Hungary	91,042,897,048	94,443,450,703	98,685,045,032	102,413,708,617	107,318,662,708	
Iceland	13,676,932,441	14,191,590,145	14,255,942,205	14,642,483,262	15,847,357,697	
India	602,653,710,235	631,725,521,906	655,756,204,857	707,301,144,107	763,340,165,418	
Indonesia	226,918,055,661	235,185,738,881	245,767,863,325	257,516,474,374	270,471,803,588	
Iran, Islamic Rep.	146,284,112,716	151,652,259,765	163,049,834,207	174,650,310,135	183,529,621,871	
Iraq	48,712,653,630	49,835,634,708	46,396,886,098	31,039,127,982	47,849,228,958	
Ireland	165,931,802,592	174,681,836,169	184,880,325,946	190,347,654,455	199,062,527,608	
Isle of Man	2,206,352,192	2,324,969,356	2,461,421,223	2,617,174,516	2,753,267,590	
Israel	127,394,340,547	127,535,436,212	127,457,569,296	128,830,304,064	135,340,222,201	
Italy	1,768,788,645,351	1,800,146,087,524	1,804,660,631,622	1,807,414,594,588	1,836,031,712,928	
Jamaica							
Japan	4,308,092,386,300	4,323,406,005,373	4,335,924,360,488	4,408,989,530,134	4,513,073,873,671	
Jordan	9,241,357,060	9,728,503,194	10,292,015,596	10,720,549,509	11,638,522,125	
Kazakhstan	34,880,328,744	39,589,173,124	43,468,912,091	47,511,520,915	52,072,626,923	
Kenya	15,672,664,145	16,265,076,195	16,354,023,315	16,833,601,049	17,692,838,510	
Kiribati	97,813,220	98,501,101	99,070,052	103,062,811	106,332,502	
							
South Korea	712,753,633,298	745,008,012,435	800,380,238,376	823,857,047,979	864,224,819,957	
Kosovo	2,574,593,022	3,269,061,628	3,246,147,197	3,440,271,525	3,530,135,778	
Kuwait	54,444,297,998	54,841,211,342	56,486,447,682	66,269,900,421	73,401,995,834	
Kyrgyz Republic	2,042,842,031	2,151,553,593	2,151,180,233	2,302,414,572	2,464,202,013	
Lao PDR	2,021,232,686	2,137,482,123	2,263,994,326	2,401,350,792	2,554,021,362	
Latvia	10,822,812,606	11,693,345,404	12,450,199,800	13,346,108,625	14,504,256,891	
Lebanon	17,383,441,662	18,070,698,831	18,680,381,901	19,285,138,788	20,727,436,194	
Lesotho	1,187,300,143	1,237,513,481	1,244,101,707	1,302,464,439	1,332,314,032	
Liberia	482,341,824	588,919,365	776,740,913	521,720,471	495,061,641	
Libya	35,929,150,681	34,384,197,201	33,937,202,638	38,349,038,981	40,036,396,696	
Liechtenstein	3,514,285,118	3,488,522,187	3,453,849,096	3,386,928,539	3,489,863,115	
Lithuania	17,924,960,438	19,132,334,492	20,445,486,537	22,540,470,795	24,197,371,918	
Luxembourg	31,791,026,215	32,426,876,586	33,489,155,847	33,887,728,200	35,557,130,777	
Macao SAR, China	6,785,840,351	6,982,629,721	7,604,317,315	8,561,385,962	10,862,857,121	
Macedonia, FYR	5,537,765,608	5,287,163,002	5,332,288,418	5,482,471,530	5,736,161,749	
Madagascar	4,503,070,950	4,774,057,852	4,169,003,874	4,576,936,407	4,817,546,118	
Malawi	2,505,954,305	2,381,283,984	2,421,765,812	2,554,962,932	2,678,920,476	
Malaysia	113,868,356,043	114,457,824,414	120,628,232,354	127,610,796,716	136,267,195,656	
Maldives		797,726,905	846,371,840	966,162,135	1,086,749,513	
Mali	3,901,566,287	4,373,655,808	4,555,307,683	4,894,286,121	5,001,251,734	
Malta	5,721,155,308	5,632,483,775	5,790,846,034	5,798,495,016	5,769,315,566	
Marshall Islands	123,848,240	130,490,692	133,904,201	134,131,925	134,057,600	
Mauritania	1,525,081,452	1,569,192,219	1,586,406,124	1,675,152,716	1,761,902,260	
Mauritius	5,406,113,153	5,545,243,277	5,662,431,639	5,869,498,634	6,206,746,378	
Mexico	798,694,407,368	793,858,373,512	794,905,609,001	806,214,502,505	840,847,173,784	
Micronesia, Fed. Sts.	242,479,653	246,716,241	248,196,291	252,728,011	244,561,707	
Moldova	2,122,817,827	2,252,309,715	2,427,989,875	2,588,237,217	2,780,027,212	
Monaco	3,927,950,920	4,013,883,856	4,055,086,247	4,099,186,749	4,200,456,593	
Mongolia	1,843,267,456	1,897,693,809	1,987,511,248	2,126,729,148	2,352,702,754	
Montenegro	1,965,064,919	1,986,680,633	2,024,427,565	2,075,038,254	2,166,339,937	
Morocco	46,686,017,639	50,211,723,276	51,876,762,054	55,153,800,019	57,802,211,816	
Mozambique	4,310,941,606	4,823,897,318	5,249,218,336	5,565,417,082	6,053,514,256	
Myanmar							
Namibia	5,707,828,950	5,775,064,256	6,051,612,515	6,308,188,441	7,082,174,655	
Nepal	6,881,622,155	7,211,923,684	7,220,597,241	7,505,452,529	7,856,903,093	
Netherlands	633,768,690,121	644,061,228,921	643,844,809,108	645,556,319,330	657,546,445,680	
New Caledonia							
New Zealand	93,980,935,909	97,381,225,746	102,273,893,118	106,453,732,692	110,231,550,953	
Nicaragua	5,413,262,686	5,573,540,924	5,615,562,020	5,757,115,341	6,062,943,125	
Niger	2,802,302,048	3,001,387,130	3,091,402,393	3,255,246,720	3,258,501,967	
Nigeria	67,850,915,773	70,843,863,904	73,525,054,912	81,137,974,799	108,510,499,440	
Northern Mariana Islands							
Norway	272,719,596,430	278,146,992,627	282,324,873,884	285,094,140,473	296,386,806,364	
Oman	29,768,732,628	31,103,102,403	30,760,792,466	29,939,796,313	30,326,652,183	
Pakistan	85,822,303,910	87,523,717,381	90,345,858,358	94,724,308,606	101,704,136,879	
Palau	176,721,529	180,367,825	189,096,117	189,375,516	204,677,302	
Panama	12,523,684,362	12,595,604,491	12,876,346,309	13,417,894,964	14,427,199,799	
Papua New Guinea	4,521,187,133	4,515,703,442	4,508,527,973	4,606,097,122	4,731,437,107	
Paraguay	7,946,284,059	7,880,007,448	7,878,320,971	8,218,723,518	8,552,191,582	
Peru	60,800,068,649	61,175,710,374	64,512,089,612	67,198,921,737	70,530,831,291	
